,#,Name,ID,Type,Std. Conc,RT,Area,IS Area,Response,Primary Flags,ng/mL,%Dev,S/N,%Rec,Sample number,Acq.Time,Acq.Date
37,37,VAL_18AGO2020_063,PL-1639_PCA 1,QC,7760.615,1.04,107138,4659,22.998,bb,7612.963,-1.9,8055,98.1,,16:38:15,18-Aug-20
38,38,VAL_18AGO2020_064,PL-1639_PCA 2,QC,7760.615,1.04,108993,4643,23.4736,bb,7770.445,0.13,20043,100.13,,16:41:05,18-Aug-20
39,39,VAL_18AGO2020_065,PL-1639_PCA 3,QC,7760.615,1.04,112777,4739,23.7985,bb,7878.026,1.51,6091,101.51,,16:43:55,18-Aug-20
40,40,VAL_18AGO2020_066,PL-1639_PCB 1,QC,61.386,1.04,981,5191,0.189,bb,59.919,-2.39,329,97.61,,16:46:44,18-Aug-20
41,41,VAL_18AGO2020_067,PL-1639_PCB 2,QC,61.386,1.04,994,5107,0.1946,bb,61.751,0.59,501,100.59,,16:49:34,18-Aug-20
42,42,VAL_18AGO2020_068,PL-1639_PCB 3,QC,61.386,1.04,968,5123,0.189,bb,59.92,-2.39,236,97.61,,16:52:24,18-Aug-20
43,43,VAL_18AGO2020_069,PL-1640_PCA 1,QC,7760.615,1.04,103917,4387,23.6861,bb,7840.817,1.03,9224,101.03,,16:55:13,18-Aug-20
44,44,VAL_18AGO2020_070,PL-1640_PCA 2,QC,7760.615,1.04,100915,4296,23.4903,bb,7775.981,0.2,5570,100.2,,16:58:03,18-Aug-20
45,45,VAL_18AGO2020_071,PL-1640_PCA 3,QC,7760.615,1.04,103675,4407,23.5265,bb,7787.955,0.35,7548,100.35,,17:00:53,18-Aug-20
46,46,VAL_18AGO2020_072,PL-1640_PCB 1,QC,61.386,1.04,878,4737,0.1854,bb,58.704,-4.37,378,95.63,,17:03:42,18-Aug-20
47,47,VAL_18AGO2020_073,PL-1640_PCB 2,QC,61.386,1.04,863,4591,0.188,bb,59.578,-2.95,533,97.05,,17:06:33,18-Aug-20
48,48,VAL_18AGO2020_074,PL-1640_PCB 3,QC,61.386,1.04,913,4879,0.1871,bb,59.27,-3.45,2247,96.55,,17:09:22,18-Aug-20
49,49,VAL_18AGO2020_075,PH-1689_PCA 1,QC,7760.615,1.04,116881,4966,23.5376,bb,7791.64,0.4,7704,100.4,,17:12:12,18-Aug-20
50,50,VAL_18AGO2020_076,PH-1689_PCA 2,QC,7760.615,1.04,115897,5087,22.7825,bb,7541.593,-2.82,7405,97.18,,17:15:02,18-Aug-20
51,51,VAL_18AGO2020_077,PH-1689_PCA 3,QC,7760.615,1.04,109607,4668,23.4785,bb,7772.075,0.15,10149,100.15,,17:17:52,18-Aug-20
52,52,VAL_18AGO2020_078,PH-1689_PCB 1,QC,61.386,1.04,970,5218,0.1858,bb,58.865,-4.11,327,95.89,,17:20:41,18-Aug-20
53,53,VAL_18AGO2020_079,PH-1689_PCB 2,QC,61.386,1.04,995,5080,0.1958,bb,62.174,1.28,647,101.28,,17:23:31,18-Aug-20
54,54,VAL_18AGO2020_080,PH-1689_PCB 3,QC,61.386,1.04,953,5164,0.1845,bb,58.429,-4.82,2147,95.18,,17:26:21,18-Aug-20
55,55,VAL_18AGO2020_081,PH-1690_PCA 1,QC,7760.615,1.04,103180,4201,24.5593,bb,8129.984,4.76,9689,104.76,,17:29:10,18-Aug-20
56,56,VAL_18AGO2020_082,PH-1690_PCA 2,QC,7760.615,1.04,100779,4194,24.0314,bb,7955.171,2.51,29102,102.51,,17:32:00,18-Aug-20
57,57,VAL_18AGO2020_083,PH-1690_PCA 3,QC,7760.615,1.04,101581,4328,23.471,bb,7769.583,0.12,6018,100.12,,17:34:50,18-Aug-20
58,58,VAL_18AGO2020_084,PH-1690_PCB 1,QC,61.386,1.04,877,4612,0.1902,bb,60.321,-1.74,363,98.26,,17:37:40,18-Aug-20
59,59,VAL_18AGO2020_085,PH-1690_PCB 2,QC,61.386,1.04,890,4649,0.1915,bb,60.747,-1.04,2319,98.96,,17:40:29,18-Aug-20
60,60,VAL_18AGO2020_086,PH-1690_PCB 3,QC,61.386,1.04,788,4322,0.1823,bb,57.68,-6.04,414,93.96,,17:43:19,18-Aug-20
61,61,VAL_18AGO2020_087,S_PCA 1,Analyte,214.678,1.04,252409,11119,22.7004,bb,7514.416,3400.32,37187,3500.32,,0.740381944,44061
62,62,VAL_18AGO2020_088,S_PCA 2,Analyte,214.678,1.04,246756,10935,22.5651,bb,7469.603,3379.45,30738,3479.45,,0.742349537,44061
63,63,VAL_18AGO2020_089,S_PCA 3,Analyte,214.678,1.04,249108,10906,22.8409,bb,7560.939,3421.99,10541,3521.99,,0.744305556,44061
64,64,VAL_18AGO2020_090,S_PCB 1,Analyte,1.698,1.04,2165,11727,0.1846,bb,58.456,3342.66,823,3442.66,,0.746261574,44061
65,65,VAL_18AGO2020_091,S_PCB 2,Analyte,1.698,1.04,2140,11588,0.1847,bb,58.473,3343.63,1304,3443.63,,0.748240741,44061
66,66,VAL_18AGO2020_092,S_PCB 3,Analyte,1.698,1.04,2075,11658,0.178,bb,56.266,3213.64,781,3313.64,,0.750196759,44061
